10:55:44 AM  [main] 	Initializing Control Panel
10:55:44 AM  [main] 	Windows Version:  Enterprise  64-bit
10:55:44 AM  [main] 	XAMPP Version: ???
10:55:44 AM  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
10:55:44 AM  [main] 	You are not running with administrator rights! This will work for
10:55:44 AM  [main] 	most application stuff but whenever you do something with services
10:55:44 AM  [main] 	there will be a security dialogue or things will break! So think 
10:55:44 AM  [main] 	about running this application with administrator rights!
10:55:44 AM  [main] 	XAMPP Installation Directory: "c:\git\hmis-moodle\server\"
10:55:44 AM  [main] 	Checking for prerequisites
10:55:45 AM  [main] 	All prerequisites found
10:55:45 AM  [main] 	Initializing Modules
10:55:45 AM  [main] 	The FileZilla module is disabled
10:55:45 AM  [main] 	The Mercury module is disabled
10:55:45 AM  [Tomcat] 	Problem detected: Tomcat Not Found!
10:55:45 AM  [Tomcat] 	Disabling Tomcat buttons
10:55:45 AM  [Tomcat] 	Run this program from your XAMPP root directory!
10:55:45 AM  [Tomcat] 	Problem detected: Required Tool catalina_start.bat Not Found!
10:55:45 AM  [Tomcat] 	Problem detected: Required Tool catalina_stop.bat Not Found!
10:55:45 AM  [Tomcat] 	Problem detected: Required Tool catalina_service.bat Not Found!
10:55:45 AM  [main] 	Starting Check-Timer
10:55:45 AM  [main] 	Control Panel Ready
10:55:46 AM  [Apache] 	Attempting to start Apache app...
10:55:47 AM  [Apache] 	Status change detected: running
10:55:53 AM  [mysql] 	Attempting to start MySQL app...
10:55:54 AM  [mysql] 	Status change detected: running
10:58:00 AM  [main] 	Deinitializing Modules
10:58:00 AM  [main] 	Deinitializing Control Panel

